IDtag,RTC_time,,temp,humidity,loadCell,vbat,ElecCond
100,0:24_4/18,,5.59,78.04,0.780527,3.8,217
100,0:29_4/18,,5.52,78.27,0.780871,3.8,196
100,0:34_4/18,,5.47,78.34,0.781202,3.8,216
100,0:39_4/18,,5.26,78.46,0.780755,3.8,216
100,0:44_4/18,,5.18,78.82,0.780031,3.8,195
100,0:49_4/18,,4.96,78.7,0.779885,3.8,263
100,0:54_4/18,,4.91,79.21,0.780079,3.8,263
100,0:59_4/18,,4.7,78.91,0.780117,3.8,197
100,1:4_4/18,,4.41,79.27,0.780032,3.8,214
100,1:9_4/18,,4.41,79.71,0.78043,3.8,214
100,1:14_4/18,,4.5,79.76,0.780071,3.8,195
100,1:19_4/18,,4.41,79.7,0.779735,3.8,215
100,1:24_4/18,,4.45,79.81,0.779635,3.8,215
100,1:29_4/18,,4.59,80.08,0.780737,3.8,197
100,1:34_4/18,,4.83,80.41,0.783034,3.8,217
100,1:39_4/18,,4.89,80.49,0.783288,3.8,217
100,1:44_4/18,,4.97,80.62,0.784402,3.8,196
100,1:49_4/18,,5,80.79,0.785901,3.8,271
100,1:54_4/18,,4.99,80.99,0.785979,3.8,271
100,1:59_4/18,,4.83,80.79,0.785249,3.8,196
100,2:4_4/18,,4.53,80.87,0.783867,3.8,214
100,2:9_4/18,,4.42,80.85,0.78387,3.8,214
100,2:14_4/18,,4.42,80.74,0.78385,3.8,197
100,2:19_4/18,,4.43,80.81,0.783539,3.8,215
100,2:24_4/18,,4.24,80.92,0.783357,3.8,215
100,2:29_4/18,,4.25,81.4,0.785425,3.8,195
100,2:34_4/18,,4.33,81.4,0.786835,3.8,264
100,2:39_4/18,,4.15,81.26,0.786366,3.8,264
100,2:44_4/18,,3.91,81.23,0.785821,3.8,197
100,2:49_4/18,,4.05,81.57,0.785295,3.8,265
100,2:54_4/18,,4.13,81.55,0.785146,3.8,265
100,2:59_4/18,,4.08,81.42,0.784869,3.8,198
100,3:4_4/18,,4.04,81.79,0.784465,3.8,216
100,3:9_4/18,,3.96,81.63,0.784884,3.8,216
100,3:14_4/18,,3.76,81.82,0.784061,3.8,199
100,3:19_4/18,,3.87,82.19,0.784509,3.8,216
100,3:24_4/18,,4.16,82.3,0.785507,3.8,216
100,3:29_4/18,,4.35,82.53,0.785784,3.8,197
100,3:34_4/18,,4.66,83.4,0.788047,3.8,266
100,3:39_4/18,,4.61,83.14,0.788978,3.8,266
100,3:44_4/18,,4.43,82.93,0.788905,3.8,198
100,3:49_4/18,,4.3,82.88,0.789873,3.8,266
100,3:54_4/18,,4.22,82.74,0.789459,3.8,266
100,3:59_4/18,,4.3,82.81,0.789824,3.8,198
100,4:4_4/18,,4.53,82.89,0.791668,3.8,216
100,4:9_4/18,,4.88,83.04,0.798259,3.8,216
100,4:14_4/18,,5.09,82.94,0.8033,3.8,197
100,4:19_4/18,,5.16,82.74,0.805257,3.8,215
100,4:24_4/18,,5.17,82.55,0.805671,3.8,215
100,4:29_4/18,,5.18,82.38,0.805639,3.8,196
100,4:34_4/18,,5.17,82.39,0.80624,3.8,269
100,4:39_4/18,,5.18,82.34,0.807137,3.8,269
100,4:44_4/18,,5.08,82.23,0.806732,3.8,198
100,4:49_4/18,,5.02,82.32,0.80628,3.8,263
100,4:54_4/18,,4.97,82.32,0.805525,3.8,263
100,4:59_4/18,,4.97,82.3,0.805838,3.8,196
100,5:4_4/18,,4.82,82.29,0.804301,3.8,212
100,5:9_4/18,,4.93,82.46,0.806,3.8,212
100,5:14_4/18,,4.88,82.41,0.805551,3.8,198
100,5:19_4/18,,4.76,82.33,0.804052,3.8,215
100,5:24_4/18,,4.63,82.38,0.803202,3.8,215
100,5:29_4/18,,4.52,82.4,0.802707,3.8,198
100,5:34_4/18,,4.47,82.52,0.801892,3.8,267
100,5:39_4/18,,4.32,82.48,0.801014,3.8,267
100,5:44_4/18,,4.31,82.73,0.801812,3.8,199
100,5:49_4/18,,4.5,82.71,0.802653,3.8,216
100,5:54_4/18,,4.45,82.74,0.802292,3.8,216
100,5:59_4/18,,4.27,82.75,0.801333,3.8,197
100,6:4_4/18,,4.29,82.87,0.801596,3.8,213
100,6:9_4/18,,4.22,82.99,0.801419,3.8,213
100,6:14_4/18,,4.45,83.35,0.801443,3.8,195
100,6:19_4/18,,4.61,83.38,0.80219,3.8,216
100,6:24_4/18,,4.63,83.42,0.802379,3.8,216
100,6:29_4/18,,4.66,83.55,0.802403,3.8,197
100,6:34_4/18,,4.62,83.65,0.801969,3.8,268
100,6:39_4/18,,4.6,83.59,0.80133,3.8,268
100,6:44_4/18,,4.54,83.66,0.800985,3.8,199
100,6:49_4/18,,4.5,83.78,0.801059,3.8,213
100,6:54_4/18,,4.49,83.57,0.800683,3.8,213
100,6:59_4/18,,4.45,83.56,0.799044,3.8,198
100,7:4_4/18,,4.43,83.55,0.798479,3.8,215
100,7:9_4/18,,4.51,83.5,0.797659,3.8,215
100,7:14_4/18,,4.69,83.48,0.797634,3.8,196
100,7:19_4/18,,4.91,83.41,0.797257,3.8,214
100,7:24_4/18,,5.06,83.34,0.796442,3.8,214
100,7:29_4/18,,5.21,83.39,0.795726,3.8,195
100,7:34_4/18,,5.37,83.29,0.794828,3.8,260
100,7:39_4/18,,5.49,83.07,0.793757,3.8,260
100,7:44_4/18,,5.6,82.92,0.792712,3.8,196
100,7:49_4/18,,5.69,82.86,0.79201,3.8,212
100,7:54_4/18,,5.83,82.81,0.791512,3.8,212
100,7:59_4/18,,6.02,82.67,0.79123,3.8,198
100,8:4_4/18,,6.21,82.57,0.789628,3.8,213
100,8:9_4/18,,6.42,82.35,0.78872,3.8,213
